# commit=c1d4b38
# dirty=true
# gpu=NVIDIA GeForce RTX 4080 SUPER
# grid=4096 chunk=16 density=80 scheme=3 seed=42
# warmup=60 record=200
# present_mode=mailbox
frame,cpu_record_us,cpu_wait_us,gpu_exec_us,frame_wall_us,draw_calls,visible_instances
0,37.1,27.5,66231.9,78.3,2,65536
1,33.7,25,66719.3,62.2,2,65536
2,38.4,27.2,66268.2,70,2,65536
3,44.1,33.3,65583.8,81.9,2,65536
4,31.5,22.3,65942.3,57.5,2,65536
5,30.1,21.3,66427,54.8,2,65536
6,40.3,26.7,66568.6,70.8,2,65536
7,37.1,27.9,66173.3,69.3,2,65536
8,39.6,29.6,67376.4,74.1,2,65536
9,33.2,24.2,66392.5,61.2,2,65536
10,30.6,22,66343.6,56.2,2,65536
11,27.5,19.6,67036.1,50.1,2,65536
12,28.5,21.1,66674.1,52.7,2,65536
13,27.3,20,66225.5,50.6,2,65536
14,26.6,18.5,66392,48.2,2,65536
15,27.4,18.7,66092.7,49.6,2,65536
16,31.1,22.1,66476.7,56.5,2,65536
17,26.5,19.7,65985,49.3,2,65536
18,26.5,18.9,65945.3,48.1,2,65536
19,35.9,25.6,67026.8,65.9,2,65536
20,34.9,24.8,67355.9,63.7,2,65536
21,30.6,22.2,65789.4,56.7,2,65536
22,35.1,24,66811.1,62.8,2,65536
23,27.3,19.4,66753.7,49.3,2,65536
24,31.9,19.9,66971.7,55.2,2,65536
25,27.8,19.3,63867.5,50,2,65536
26,27.5,18.5,66617.3,48.8,2,65536
27,27.1,17.6,66815.2,47,2,65536
28,26.8,19.5,66545.2,49.2,2,65536
29,32.3,23.7,66237.2,59.9,2,65536
30,41.9,31.2,65506.1,79.2,2,65536
31,42.8,30.7,65937.7,78.5,2,65536
32,39.1,27.3,66954,71,2,65536
33,34.7,22.4,66533.6,60.7,2,65536
34,33.7,23.6,65888.2,60.9,2,65536
35,29.8,20.9,66297.4,54.4,2,65536
36,35.3,24,66631.2,63.7,2,65536
37,37,28.2,67114.7,69.8,2,65536
38,36,28.9,66944.2,70.2,2,65536
39,39.6,24.4,67127.8,68.7,2,65536
40,32.7,25.6,66538.6,61.8,2,65536
41,42.9,31.4,66888.7,79.8,2,65536
42,41.6,31,66904.3,78.7,2,65536
43,39.9,30.3,66010.4,75.9,2,65536
44,74.2,33.2,66531.5,111.9,2,65536
45,37.7,29.4,67775.6,72.7,2,65536
46,52.9,47.7,66012.7,111.5,2,65536
47,39.4,28.6,65924.6,73.1,2,65536
48,33.1,24.1,67380.6,61.1,2,65536
49,29.5,21.8,66513.4,54.5,2,65536
50,28.3,20.2,66322.3,51.6,2,65536
51,30.3,22.3,66661.6,56,2,65536
52,37.9,30.5,66533.8,73.9,2,65536
53,49.8,45.2,67040,103.5,2,65536
54,31.9,22,66184.4,57.2,2,65536
55,32.2,22.4,66973,57.9,2,65536
56,34.3,24.7,66210.7,63.4,2,65536
57,29.8,19.8,66964.3,52.8,2,65536
58,31,20.4,66610.5,54.9,2,65536
59,30,21.5,66407.8,55.1,2,65536
60,29.2,20.9,66005,53.3,2,65536
61,28.4,20.4,66033.5,52.4,2,65536
62,26.2,19.4,67071.8,48.8,2,65536
63,27.4,19.1,66390.4,49.5,2,65536
64,27.4,19.5,66160.4,50.2,2,65536
65,28.5,19.3,66749.6,51.1,2,65536
66,28.9,19.4,66059.2,51.2,2,65536
67,28.6,19.9,65659.6,51.8,2,65536
68,30.3,21.6,66823.3,55.5,2,65536
69,29.2,19.8,65870.2,52.4,2,65536
70,30.5,20.8,66159.9,54.7,2,65536
71,33.2,26.3,66402,63,2,65536
72,31.8,21.9,66349.8,56.9,2,65536
73,29.9,20.3,67114.9,53.6,2,65536
74,27.8,19.9,66846,50.6,2,65536
75,28.2,18.9,67035.1,50.3,2,65536
76,29.9,20.5,66193.1,53.5,2,65536
77,28.4,20.4,65837.4,52,2,65536
78,34.4,22.3,66078.8,61.1,2,65536
79,26.3,18.7,67152.5,48.1,2,65536
80,39.7,31.4,66367.2,76.2,2,65536
81,44.3,25.5,66232.6,75.4,2,65536
82,25.3,18.2,65931.3,46.3,2,65536
83,29.5,22.8,65999.2,55.3,2,65536
84,30.7,35.3,66792.1,69.9,2,65536
85,45.8,29.6,66238.7,79.5,2,65536
86,43,26.4,66695.7,72.6,2,65536
87,30.6,21.8,66239.7,55.8,2,65536
88,25.9,18.7,66647.9,47.7,2,65536
89,25.7,18.6,66797.6,47.7,2,65536
90,26.1,19.1,66377.4,48.6,2,65536
91,38.4,28.8,66092.7,72.5,2,65536
92,42.2,32.9,66949.4,80.4,2,65536
93,45.4,30.4,66620.1,81.1,2,65536
94,60.3,55.9,66516.5,131.5,2,65536
95,48.1,35.7,66159.9,90.1,2,65536
96,57,52.4,66783.2,115.8,2,65536
97,47.5,37.3,66457.6,90.3,2,65536
98,34.9,24.7,66749.2,63.4,2,65536
99,34.1,24.9,67638.4,63.5,2,65536
100,32.2,23.7,66078.1,59.6,2,65536
101,30.1,21.6,66789.2,55.1,2,65536
102,32.4,22.8,66132.6,58.5,2,65536
103,33.1,22.1,66835.2,58.6,2,65536
104,31,23.6,65885.6,58.6,2,65536
105,33,23.7,66270,60.4,2,65536
106,32.9,22.8,66871.3,59.6,2,65536
107,32.2,22.5,66311.9,58.5,2,65536
108,65.2,63.4,66558.5,138.5,2,65536
109,38.6,28.7,66022.9,71.8,2,65536
110,41.1,26,66661.1,71.1,2,65536
111,39.7,31.5,67014.9,77.8,2,65536
112,40.7,33,66734.1,79.9,2,65536
113,42.7,32.1,66557.1,79.8,2,65536
114,47.1,32.9,66818.7,85.2,2,65536
115,53.8,42,66211.5,101.3,2,65536
116,47.3,47.4,66789.1,99.8,2,65536
117,31.7,21.6,66652.6,56.9,2,65536
118,28.6,21,66969.4,52.9,2,65536
119,31.6,22.9,66249,58.3,2,65536
120,32.7,23.8,66091.5,60.5,2,65536
121,28,20.9,66894.5,52.5,2,65536
122,29.9,22.1,66139.8,55.5,2,65536
123,28.8,22.2,66829.5,54.3,2,65536
124,28.8,20.7,66247.3,52.5,2,65536
125,30.5,25.7,66583.5,59.9,2,65536
126,42.4,33.4,66545.1,82,2,65536
127,38,28.1,66614.5,71.3,2,65536
128,44.6,34.2,66967.2,86.2,2,65536
129,34.3,23.7,66192.2,62,2,65536
130,30.2,21.5,66186.5,55.3,2,65536
131,35.9,25.2,66635.4,65.2,2,65536
132,31.7,22.6,66244.4,58.3,2,65536
133,29.4,21.1,66980.1,54.5,2,65536
134,33.5,24.4,67159.5,61.5,2,65536
135,33.3,24,66973.4,60.8,2,65536
136,43.1,31,66289.1,78.4,2,65536
137,31.3,22.3,66555.1,57.1,2,65536
138,36.7,25.5,66434.6,66.3,2,65536
139,27.4,19.4,66706.6,49.4,2,65536
140,28.8,20.4,66737.5,52.2,2,65536
141,28.9,20.2,66960.2,52.4,2,65536
142,32.5,24.3,66136.7,61.3,2,65536
143,29.7,21.2,66514.4,54.5,2,65536
144,42.2,29.4,65797.5,76.8,2,65536
145,94.2,102.8,66102.2,203.1,2,65536
146,37.8,29.1,66221.2,72.3,2,65536
147,47,32.5,66881.5,85.5,2,65536
148,46.3,33.6,66410.9,85.5,2,65536
149,37.1,29.9,65905.5,71.4,2,65536
150,36.7,26,66295.9,66.7,2,65536
151,44.8,26.1,66181.8,75.8,2,65536
152,29.7,21.1,66746.8,54.2,2,65536
153,35.6,25.5,65854.2,65.3,2,65536
154,39.7,26.8,66668.1,70.1,2,65536
155,32,22.5,67016.2,58.2,2,65536
156,35.4,24.5,66966.9,63.4,2,65536
157,28.3,19.9,66831,51.5,2,65536
158,32.7,23,66614.5,59.5,2,65536
159,31.8,22.3,65678.8,57.4,2,65536
160,30,21.1,66509.1,54.4,2,65536
161,30.1,21.8,66576.3,55.8,2,65536
162,33.7,24.9,66340.8,62.9,2,65536
163,32,24.7,66814.4,60.6,2,65536
164,31.8,23.2,66675.1,58.7,2,65536
165,31.7,22.8,66240.6,58.2,2,65536
166,32.3,23.2,66536,59.5,2,65536
167,30.5,20.9,66603.3,55.1,2,65536
168,38.2,25.5,65650.1,68.4,2,65536
169,34.1,26.5,66231.7,64.3,2,65536
170,29.4,20.3,66316.5,52.7,2,65536
171,32.5,21.1,66133.4,57.4,2,65536
172,41.3,30.7,65924.3,77.1,2,65536
173,36.9,25.7,66609.8,67.1,2,65536
174,38.5,26.6,66385.2,69.6,2,65536
175,32.6,22.2,65943.7,58.7,2,65536
176,35.4,23,66704.5,62.1,2,65536
177,35.1,23,66323.9,62.1,2,65536
178,32.1,22.7,67210.6,58.2,2,65536
179,29.8,20.8,67048,54.4,2,65536
180,29.9,19.4,66812.4,52.4,2,65536
181,36.9,25.5,66538.4,67,2,65536
182,28.9,20.8,66563.4,53.4,2,65536
183,29,20.4,66212.4,53,2,65536
184,31.7,20.3,66759.9,55.7,2,65536
185,29.4,21.7,65926.7,54.9,2,65536
186,31.6,20.3,66909.2,55.2,2,65536
187,33.9,23.9,66360.7,61.8,2,65536
188,35.1,25.3,66740,64.6,2,65536
189,34.2,22.6,67315.2,60.5,2,65536
190,29.7,20.4,66906.2,53.4,2,65536
191,43,32.4,66119.2,81.7,2,65536
192,36.9,27.4,67573.6,68.5,2,65536
193,61.1,52.1,66514.5,122.3,2,65536
194,36,28.5,66129.4,69.4,2,65536
195,39,26,66407.8,68.9,2,65536
196,38.4,30.4,65424.2,74.3,2,65536
197,50.2,31.5,66365.9,88,2,65536
198,38.4,29.8,65696.1,73.3,2,65536
199,45.7,33.7,66095,85.3,2,65536

cpu_record_us_summary,avg,min,max,p1,p99,stddev
cpu_record,35.2815,25.3,94.2,25.7,65.2,8.60792

cpu_wait_us_summary,avg,min,max,p1,p99,stddev
cpu_wait,25.774,17.6,102.8,18.2,55.9,8.75783

gpu_exec_us_summary,avg,min,max,p1,p99,stddev
gpu_exec,66478,63867.5,67775.6,65424.2,67573.6,463.516

frame_wall_us_summary,avg,min,max,p1,p99,stddev
frame_wall,65.308,46.3,203.1,47,131.5,18.1115
