# commit=c1d4b38
# dirty=true
# gpu=NVIDIA GeForce RTX 4080 SUPER
# grid=1024 chunk=16 density=20 scheme=3 seed=1337
# warmup=60 record=200
# present_mode=mailbox
frame,cpu_record_us,cpu_wait_us,gpu_exec_us,frame_wall_us,draw_calls,visible_instances
0,16,10.3,7349.98,35.7,2,4096
1,15.3,10,7364.22,27.2,2,4096
2,15.2,9.7,7562.02,26.6,2,4096
3,34.1,9.8,7351.97,45.4,2,4096
4,17.6,11.3,7362.94,30.8,2,4096
5,16.4,10.8,7541.44,28.9,2,4096
6,16.7,10.8,7350.27,29.3,2,4096
7,22.4,89,7363.33,113.4,2,4096
8,15.4,10.3,7349.98,27.1,2,4096
9,15.5,9.7,7409.09,26.6,2,4096
10,16.7,9.9,7350.08,28,2,4096
11,15.7,10.2,7368.26,27.4,2,4096
12,15.9,10.3,7349.34,27.5,2,4096
13,15.5,9.8,7410.88,26.5,2,4096
14,15.3,9.6,7351.2,26.3,2,4096
15,19.7,11.7,7544.13,33,2,4096
16,27.1,14.8,7410.56,44.1,2,4096
17,23.2,14.9,7350.43,40.6,2,4096
18,21.6,13.3,7715.74,36.8,2,4096
19,20.6,13.3,7350.66,36,2,4096
20,19.8,12.3,7366.02,34.3,2,4096
21,20.2,12.6,7350.11,34.7,2,4096
22,18.3,11.2,7587.68,31.2,2,4096
23,18.9,11.6,7365.06,32.4,2,4096
24,19.9,14.6,7734.02,36.6,2,4096
25,18.1,11.1,7365.54,30.6,2,4096
26,17.9,11.4,7528.19,30.8,2,4096
27,18.4,11.6,7348.54,31.6,2,4096
28,19.6,12.7,7345.15,33.7,2,4096
29,18,11.6,7365.18,31,2,4096
30,18.1,11.4,7353.41,30.8,2,4096
31,17.6,11.2,7789.66,30,2,4096
32,21.3,13.9,7532.51,37.4,2,4096
33,22.9,15,7350.08,40.4,2,4096
34,21.4,14.1,7362.78,37.7,2,4096
35,19.1,12.6,7352.1,33.7,2,4096
36,19.9,13,7410.14,34.9,2,4096
37,18.8,11.9,7715.81,32.3,2,4096
38,22.5,14.1,7411.58,38.5,2,4096
39,18.5,11.7,7555.1,31.5,2,4096
40,18.1,11.4,7349.82,30.7,2,4096
41,17.8,11.3,7411.33,30.4,2,4096
42,17.6,11.1,7350.53,30,2,4096
43,18.4,11.6,7364.77,31.3,2,4096
44,20.6,13.4,7349.89,35.6,2,4096
45,17.1,10.8,7410.05,29.1,2,4096
46,16.1,10.3,7350.24,27.9,2,4096
47,16.4,10.4,7365.73,28.3,2,4096
48,16.1,10.5,7349.7,28.1,2,4096
49,15.7,9.9,7411.3,27.1,2,4096
50,16.2,10.3,7350.56,28,2,4096
51,16.1,10.3,7364.86,27.8,2,4096
52,15,10,7742.91,26.4,2,4096
53,16.3,18.5,7367.49,36.3,2,4096
54,16.1,11.6,7533.09,29,2,4096
55,15.9,10.4,7349.31,27.7,2,4096
56,15.8,10.2,7365.89,27.5,2,4096
57,17,11,7546.24,29.5,2,4096
58,16.1,13.9,7349.79,31.3,2,4096
59,16,10.2,7367.46,27.5,2,4096
60,16.4,10.4,7351.23,28.3,2,4096
61,16.1,10.2,7410.69,27.8,2,4096
62,16.5,10.2,7543.55,28,2,4096
63,22.2,14.5,7350.37,38.3,2,4096
64,15.9,10.2,7410.62,27.3,2,4096
65,15.4,10,7715.94,26.8,2,4096
66,19.1,12.1,7410.46,32.8,2,4096
67,15.3,10.2,7349.31,26.7,2,4096
68,18,11.3,7369.73,31,2,4096
69,17,10.9,7350.82,29.3,2,4096
70,19.1,12.4,7411.52,33.3,2,4096
71,19.1,11.9,7720.16,33.2,2,4096
72,18.5,11.5,7410.14,31.7,2,4096
73,18.1,11.4,7558.21,31,2,4096
74,17.2,11.1,7349.54,29.8,2,4096
75,16.9,10.6,7410.85,29.1,2,4096
