# commit=c1d4b38
# dirty=true
# gpu=NVIDIA GeForce RTX 4080 SUPER
# grid=1024 chunk=16 density=20 scheme=3 seed=9999
# warmup=60 record=200
# present_mode=mailbox
frame,cpu_record_us,cpu_wait_us,gpu_exec_us,frame_wall_us,draw_calls,visible_instances
0,18.5,11.9,7329.06,39.6,2,4096
1,17.8,11.1,7703.74,30.7,2,4096
2,19.5,12.6,7326.88,34.3,2,4096
3,17.3,12,7340.38,31.3,2,4096
4,19,12.7,7330.72,33.5,2,4096
5,17.9,13,7567.49,32.7,2,4096
6,16.8,10.8,7343.23,29,2,4096
7,16.9,10.8,8084.13,29.2,2,4096
8,16.7,11.4,7388.29,29.6,2,4096
9,17.1,11.3,7329.12,30.3,2,4096
10,17.8,11.8,7344.13,31.6,2,4096
11,17.6,12.4,7330.08,31.4,2,4096
12,17.7,12.1,7387.87,31.4,2,4096
13,18.3,11.4,7535.07,31.2,2,4096
14,17.2,11.2,7706.21,30,2,4096
15,18.3,12.2,7342.88,32.5,2,4096
16,18.3,11.8,7329.15,31.8,2,4096
17,17.6,11.1,7388.38,30.4,2,4096
18,17.4,10.7,7325.12,29.7,2,4096
19,17.2,10.6,7342.88,29.3,2,4096
20,16.6,10.3,7524.1,28.5,2,4096
21,17.7,10.7,7389.63,30.2,2,4096
22,21.4,13.4,7327.94,37.3,2,4096
23,21.7,13.5,7342.62,37.2,2,4096
24,23.2,13.4,7327.94,39.2,2,4096
25,24.9,14.6,7386.43,42,2,4096
26,26.6,16.5,7533.73,46.1,2,4096
27,27.2,16.9,7330.72,47.2,2,4096
28,28.8,18.2,7568,50.4,2,4096
29,27,18.1,7343.52,48.2,2,4096
30,28.8,18.5,7329.76,50.8,2,4096
31,27.8,17.3,7390.08,48.3,2,4096
32,30.5,19.6,7327.1,53.6,2,4096
33,28.8,18.4,7343.84,50.8,2,4096
34,28.7,17,7328.29,49.1,2,4096
35,27.9,18.4,7759.49,50,2,4096
36,29.6,18.5,7549.89,51.3,2,4096
37,28.8,18,7327.01,50.3,2,4096
38,31.4,19.3,7343.39,54.6,2,4096
39,29.1,18.9,7329.34,51.4,2,4096
40,27.6,17.7,7386.75,48.6,2,4096
41,32,21.4,7328.58,57.5,2,4096
42,29,19.2,7527.42,51.5,2,4096
43,30.6,19,7572.42,53.6,2,4096
44,28.4,17.5,7346.24,49.6,2,4096
45,29.8,18.5,7538.11,51.8,2,4096
