# commit=c1d4b38
# dirty=true
# gpu=NVIDIA GeForce RTX 4080 SUPER
# grid=4096 chunk=16 density=50 scheme=3 seed=1337
# warmup=60 record=200
# present_mode=mailbox
frame,cpu_record_us,cpu_wait_us,gpu_exec_us,frame_wall_us,draw_calls,visible_instances
0,39.7,23.9,50635,78,2,62984
1,36.8,24.7,49827.7,64.7,2,62984
2,37,29.2,49176.2,71.8,2,62984
3,38.8,29.9,49905.2,74.5,2,62984
4,37.4,24.6,51658.4,66.1,2,62984
5,32.3,23,51756.3,58.7,2,62984
6,26.1,19.2,51029.2,48.2,2,62984
7,24.6,16.9,50142.9,43.8,2,62984
8,29.5,20.7,49598.5,52.9,2,62984
9,25.2,16.7,49863,44.4,2,62984
10,23.7,16.2,51865.1,42.3,2,62984
11,24.2,16.6,51380.8,43.4,2,62984
12,27.7,19.1,50791.7,50.3,2,62984
13,21.9,14.3,50303.5,38.1,2,62984
14,21.5,14.4,49810.5,37.9,2,62984
15,22.9,15.3,49737.8,40.5,2,62984
16,38.6,26.3,50386.5,70.1,2,62984
17,29.9,22.8,51658.1,55.7,2,62984
18,29.2,19.8,51264.7,51.9,2,62984
19,34.9,25.5,49149.8,64.8,2,62984
20,41.8,28.9,49662.6,76.4,2,62984
21,38.2,28.9,50061.8,73,2,62984
22,40.5,31.2,49832.1,77.6,2,62984
23,43.4,30,50007.5,79.3,2,62984
24,44.1,32.3,49496.5,82.5,2,62984
25,46.7,36.8,49333.9,91.7,2,62984
26,37.4,29,51415.6,72.1,2,62984
27,35.5,25.9,50120.4,66.4,2,62984
28,35.5,27,51851.3,67.2,2,62984
29,29.1,21,51747.1,53.7,2,62984
30,28.2,19.6,49807.4,50.9,2,62984
31,42.6,32.9,49735.5,81.1,2,62984
32,34.2,24,49880,62.1,2,62984
33,39.8,33.2,51692.5,78.4,2,62984
34,32,23.3,51215.1,59.3,2,62984
35,28.9,20.9,50683.4,53.4,2,62984
36,27.2,18.2,51524.1,48,2,62984
37,43.4,34.3,50077.5,83.2,2,62984
38,31.4,21.6,49902,56,2,62984
39,26.5,17.5,51901.2,46.4,2,62984
40,24.6,25.9,51626.7,52.9,2,62984
41,24.6,16.3,51092.6,43,2,62984
42,44.9,32.8,51237.1,83.7,2,62984
43,27.4,18.7,49499.1,49.4,2,62984
44,30.4,19.2,51831.2,52.4,2,62984
45,23.7,16.7,55861.5,42.8,2,62984
46,47,36.2,54916.8,88.6,2,62984
47,33.4,22.9,47948.9,60.2,2,62984
48,32.7,23.1,49394.3,59.3,2,62984
49,33.6,24,54922,62,2,62984
50,32.8,22.1,55758.3,58.9,2,62984
51,33,23.8,55399.7,60.9,2,62984
52,29.7,20.1,55383.5,53.2,2,62984
53,37.3,28.3,55633.2,71.4,2,62984
54,31.6,20.6,53281.9,55.5,2,62957
55,30,20.5,49764.3,54.2,2,62957
56,39.7,30.6,51484.7,74.9,2,62957
57,37.3,27.3,53390.4,69.5,2,62957
58,34.5,25.8,53323.3,65.1,2,62957
59,42.8,30.6,55233.1,79.2,2,62957
60,55.4,40.5,55021.4,102.2,2,62957
61,46.3,32.2,53321.5,85.1,2,62957
62,45.1,30.3,47516.5,81.3,2,62957
63,63.3,27.8,55167,95.7,2,62957
64,36.4,27.1,55650.6,68.6,2,62957
65,35.8,25.1,55834.3,65.1,2,62957
66,35.6,25.7,52599.4,65.5,2,62957
67,36.9,25.4,52088,66.8,2,62957
68,34,23.9,55052.7,62.3,2,62957
69,31.1,20.4,50265.4,54.6,2,62957
70,29.7,20.2,51393.6,53.8,2,62957
71,31.5,22,50683.4,57.1,2,62957
72,32.3,22.2,51771.9,58.2,2,62957
73,27.9,19.9,51800.4,51.1,2,62957
74,30,22.4,49795.1,56,2,62957
75,34.9,18.9,49685.8,56.5,2,62957
76,26.8,20,51544.4,49.8,2,62957
77,24.4,17.7,51743.9,44.6,2,62957
78,24.6,17,53610.4,44.4,2,62957
79,26.1,18.9,54178,48.4,2,62957
80,28.5,19.6,54013.1,51.4,2,62957
81,37.5,27.2,55492.1,70.2,2,62957
82,41.2,30,47442.2,76.1,2,62957
83,32.6,24.6,47248.5,61.1,2,62957
84,30.8,22,51313.4,56.2,2,62957
85,31.6,22.4,55009.2,57.8,2,62957
86,29.6,21,55714.8,53.7,2,62957
87,31,22.7,55627.4,56.8,2,62957
88,29.3,21.2,54785.1,53.7,2,62957
89,30.3,20.8,50115.9,54.3,2,62957
90,48.7,36.8,51049.8,92.2,2,62957
91,37.6,27.1,51491.8,69.9,2,62957
92,34.8,26,51721.9,65.1,2,62957
93,30.2,20.8,50579.4,54.5,2,62957
94,27.9,19,49844.5,50.2,2,62957
95,41.3,29.9,49273.1,76.2,2,62957
96,32.7,21.8,51698.9,57.8,2,62957
97,33.7,22.9,50929.6,60.6,2,62957
98,39.5,32.3,50936,76.6,2,62957
99,44.8,32.3,49640.3,83,2,62957
100,40.7,30.1,50565.2,75.4,2,62957
101,37.5,28.8,51481.7,72,2,62957
102,31.2,22.3,49486.8,57,2,62957
103,28.5,20.3,51890.2,52.4,2,62957
104,29.4,20.1,50920.6,52.6,2,62957
105,34.3,21,51475.5,58.5,2,62957
106,24.9,17.4,50699.6,44.9,2,62957
107,23.8,15.8,49451.5,42,2,62957
108,33.1,23,50371.2,59.4,2,62957
109,37.8,30,52556.7,73.4,2,62957
110,35,25.1,55872.2,64.2,2,62957
111,35.8,25,54291.1,65,2,62957
112,41.9,30.6,46899.6,76.9,2,62957
113,37.8,29.7,29297.8,74.3,2,61966
114,46.1,30.8,12571.1,81.7,2,34062
115,32.2,22.2,9162.27,57.6,2,5195
116,35.9,24.4,9317.54,64,2,0
117,33.2,21.7,9323.62,58.2,2,0
118,49.9,32.9,8956.64,88.1,2,0
119,29.3,19.1,10045.4,51.1,2,0
120,30.4,17.5,9331.1,50.8,2,0
121,25.7,16.6,9751.36,44.8,2,0
