# commit=c1d4b38
# dirty=true
# gpu=NVIDIA GeForce RTX 4080 SUPER
# grid=4096 chunk=16 density=80 scheme=3 seed=9999
# warmup=60 record=200
# present_mode=mailbox
frame,cpu_record_us,cpu_wait_us,gpu_exec_us,frame_wall_us,draw_calls,visible_instances
0,36.2,27.5,685827,77.4,2,65536
1,36.1,25.8,684767,66.1,2,65536
2,34.4,24.1,682243,62.9,2,65536
3,35.1,24.1,687482,63.6,2,65536
4,34.7,23.5,681327,62.2,2,65536
5,35.6,23.8,684779,63.6,2,65536
6,35.8,26.6,684290,67.2,2,65536
7,34.4,26.6,683503,65.1,2,65536
8,35.2,26.6,682155,66.1,2,65536
9,35.2,23.8,685549,63,2,65536
10,34.3,24.9,688012,63.8,2,65536
11,35.6,25.4,681570,65.4,2,65536
12,35.7,26.9,687676,67.8,2,65536
13,34.6,26.5,684906,68.6,2,65536
14,33.3,21.1,682738,58.7,2,65536
15,35.5,23.8,678092,63.6,2,65536
16,32.6,19.9,682332,56.1,2,65536
17,34.1,23.7,688018,61.4,2,65536
18,36.8,28,688407,69.5,2,65536
19,35.3,24.7,680852,64.2,2,65536
20,35.7,29.7,685320,69.9,2,65536
21,37.2,26.6,686002,68.5,2,65536
22,31.5,20,682174,55.3,2,65536
23,35.8,27.2,679330,67.8,2,65536
24,34.8,23.1,681817,61.8,2,65536
25,32.2,20.8,689569,57.4,2,65536
26,32.8,21.6,687821,58.1,2,65536
27,39.4,30.6,684116,75.6,2,65536
28,36,27.5,681568,68.1,2,65536
29,34.4,23.7,679951,62.8,2,65536
30,35.7,24.1,685715,64,2,65536
31,34.5,23.3,682737,61.7,2,65536
32,37.8,28.6,688532,71.6,2,65536
33,37.9,27.9,683631,70.6,2,65536
34,36.5,24.9,678145,65.6,2,65536
35,35.3,24.6,681466,64.5,2,65536
36,35.2,24.7,681625,64.2,2,65536
37,34.4,26.6,680430,66.1,2,65536
38,34.4,25.8,679090,64.4,2,65536
39,35.6,24.9,689549,64.7,2,65536
40,35.4,27.3,682786,67.4,2,65536
41,34.8,23.8,680409,62.6,2,65536
42,38.7,23.9,684195,66.6,2,65536
43,34,23.3,683649,61.4,2,65536
44,41.3,26.3,680507,72.1,2,65536
45,35,23.7,680794,62.9,2,65536
46,39.5,25.1,688914,69.6,2,65536
47,72.3,26.8,687102,103.1,2,65536
48,37.2,26.1,685358,67.9,2,65536
49,46,30.4,679032,81.2,2,65536
50,34.2,23.6,672418,62.4,2,64709
51,40.4,27.2,675964,72.5,2,64709
52,39.8,30,684411,75,2,64709
53,35.2,25.5,683770,64.5,2,64709
54,35.9,24.6,690319,64.9,2,63324
55,38,23.6,668458,65.4,2,63324
56,35.6,27.3,612543,67.8,2,63324
57,36.2,26.9,604484,67.8,2,58279
58,35.6,24,628187,64.2,2,57930
59,40.3,26.7,604998,72.2,2,57916
60,34.5,23.9,619503,62.7,2,57916
61,43.9,30.1,628733,78.6,2,57916
62,45.4,35.4,636251,86.1,2,57916
63,43,29.9,637904,82,2,57916
64,67.8,53.5,635175,127.7,2,57916
65,42.8,33.4,636977,82.3,2,57916
66,41.6,27.9,638482,74.8,2,57916
67,49.4,77.7,636879,133.7,2,57916
68,38.8,35.1,638845,80.1,2,57916
69,40.2,28.3,637310,73.1,2,57916
70,58.2,46.7,634758,109.2,2,57916
71,40.3,29.7,637788,75.4,2,57916
72,42.3,30.4,639470,78.7,2,57916
73,48.6,36.4,632984,91.7,2,57916
74,35.8,26.4,636126,66.9,2,57916
75,36.8,24.7,634883,65.9,2,57916
76,43,29,635635,76.9,2,57916
77,40.3,29.1,637278,74.8,2,57916
78,38.7,30.7,637530,75.5,2,57916
79,45.2,36.1,636168,87.3,2,57916
80,34.8,25.6,637666,64.7,2,57916
81,54.6,37.4,635843,97.4,2,57916
82,37.1,27.6,638345,70.4,2,57916
83,37.8,26.8,638992,69.2,2,57916
84,48.4,33.1,636400,86.4,2,57916
85,36.4,27.9,640109,68.9,2,57916
86,36.5,25.5,637744,66.3,2,57916
87,39.5,27.5,634866,71.7,2,57916
88,37.9,27.6,638291,69.9,2,57916
89,36.6,25.3,638633,66,2,57916
90,43.8,33.1,636188,81.9,2,57916
91,38,28.9,637862,72.4,2,57916
92,35.4,25.2,636550,64.6,2,57916
93,39.9,29.6,635119,74,2,57916
94,34.8,24.5,637803,63.1,2,57916
95,37.7,25.1,639645,66.8,2,57916
96,43.3,32.2,635703,81,2,57916
97,43.4,34,637069,84,2,57916
98,57.2,35.9,635817,97.4,2,57916
99,92,70.6,639204,171.5,2,57916
100,46.9,31.2,639077,82.8,2,57916
101,36.2,26.8,634743,67.6,2,57916
102,43.2,31.7,635995,81.5,2,57916
103,44,30.4,637333,79.6,2,57916
104,36.6,26.6,634319,67.3,2,57916
105,42.5,30,636998,77.9,2,57916
106,37.7,27.7,636421,70,2,57916
107,46.7,35.9,635632,89.6,2,57916
108,37.2,28.2,637339,69.5,2,57916
109,36.5,27.6,638529,69.1,2,57916
110,35.8,25.7,635443,65.6,2,57916
111,36.9,28.7,632787,71.5,2,57916
112,41.1,31.5,637472,78.2,2,57916
113,46.1,31.9,638582,84,2,57916
114,36.4,28.5,633881,69.9,2,57916
115,36.6,27,637027,68.4,2,57916
116,48.4,37.1,639625,94,2,57916
117,36.4,25.5,638831,66.2,2,57916
118,44.6,33.8,634894,85.4,2,57916
119,41.5,29.6,635523,76.5,2,57916
120,41,28,634501,74.3,2,57916
121,47.8,34.2,634958,87.9,2,57916
122,38.8,30.9,632676,74.7,2,57916
123,35.9,25.3,637268,65.3,2,57916
124,37.9,27.7,633561,70.1,2,57916
125,72.1,32.8,635347,109.6,2,57916
126,43.3,33.2,635780,82.2,2,57916
127,42.4,33.2,635833,81.7,2,57916
128,42.9,32,635909,79.7,2,57916
129,37.9,26.5,640418,69,2,57916
130,40.5,28.5,636581,74.1,2,57916
131,43.3,30.4,640913,79.4,2,57916
132,49,31.2,637342,85.1,2,57916
133,42.9,31.1,636047,80.5,2,57916
134,43.7,33.8,635679,83.9,2,57916
135,43.1,28.8,637617,76.9,2,57916
136,64.6,45.6,639733,120.2,2,57916
137,78.1,67.2,634287,153.2,2,57916
138,42.8,28.3,637824,76.7,2,57916
139,43.7,33,638949,83.1,2,57916
140,35.8,25.5,636232,66,2,57916
141,38.2,26.2,635436,69,2,57916
142,38.3,32.3,636392,75.6,2,57916
143,36.1,26,635576,66.3,2,57916
144,39.5,27.9,637871,71.8,2,57916
145,38.1,29,634906,72,2,57916
146,44.1,28.9,640729,81.5,2,57916
147,41.5,31.2,636975,78,2,57916
148,43.5,32.5,636324,82,2,57916
149,35.9,26,634857,66,2,57916
150,37.8,29.6,635785,72.1,2,57916
151,35.6,25.9,637975,66.2,2,57916
152,47.2,34,637836,87.9,2,57916
153,45.5,27.4,636826,77.6,2,57916
154,36.2,25.7,640218,66.4,2,57916
155,38.6,30.9,637024,75.4,2,57916
156,39.4,25.8,638968,69.4,2,57916
157,36,31.5,637959,72.2,2,57916
158,46.3,32.3,636580,83.3,2,57916
159,39.6,28.3,637723,72.2,2,57916
160,37.1,29.3,638757,71.2,2,57916
161,37.5,27.7,638671,69.8,2,57916
162,76.3,66,639023,155.8,2,57916
163,40.3,29.5,643632,74.6,2,57916
164,48.1,36.7,643089,91.4,2,57916
165,43.6,28.1,636937,76.8,2,57916
166,37.1,29,641721,71.1,2,57916
167,73.1,31.3,637175,111.8,2,57916
168,55.8,30.7,639206,92.2,2,57916
