frame,cpu_us,gpu_us,total_us,draw_calls,visible_instances
0,5163.91,187.392,5351.3,146,82
1,5768.51,187.392,5955.9,146,82
2,5265.64,187.36,5453,146,82
3,4364.93,187.968,4552.9,146,82
4,4848.1,188.096,5036.2,146,82
5,5083.25,187.552,5270.8,146,82
6,5179.47,187.232,5366.7,146,82
7,5151.38,187.424,5338.8,146,82
8,5740.33,187.168,5927.5,146,82
9,4955.32,187.584,5142.9,146,82
10,5004.52,187.584,5192.1,146,82
11,5180.1,187.904,5368,146,82
12,5165.63,187.168,5352.8,146,82
13,5105.94,187.36,5293.3,146,82
14,6000.22,187.776,6188,146,82
15,4325.73,187.872,4513.6,146,82
16,4886.96,187.136,5074.1,146,82
17,5097.26,187.136,5284.4,146,82
18,5293.09,187.712,5480.8,146,82
19,4987.18,187.616,5174.8,146,82
20,6444.82,187.68,6632.5,146,82
21,3825.62,186.88,4012.5,146,82
22,4980.79,187.712,5168.5,146,82
23,5559.87,179.328,5739.2,146,82
24,5551.67,178.432,5730.1,146,82
25,4261.22,178.784,4440,146,82
26,5208.6,178.4,5387,146,82
27,5706.58,179.52,5886.1,146,82
28,4677.77,178.528,4856.3,146,82
29,5162.21,178.688,5340.9,146,82
30,5229.12,178.88,5408,146,82
31,5175.87,178.528,5354.4,146,82
32,6223.72,178.784,6402.5,146,82
33,4321.8,179.104,4500.9,146,82
34,4868.63,179.072,5047.7,146,82
35,5519.88,178.624,5698.5,146,82
36,4993.15,178.752,5171.9,146,82
37,6453.05,178.752,6631.8,146,82
38,3741.44,178.656,3920.1,146,82
39,5190.12,178.784,5368.9,146,82
40,5298.97,178.432,5477.4,146,82
41,6037.7,178.4,6216.1,146,82
42,4415.75,177.952,4593.7,146,82
43,5045.37,178.528,5223.9,146,82
44,8609.11,178.592,8787.7,146,82
45,1662.58,179.424,1842,146,82
46,5035.44,179.456,5214.9,146,82
47,7018.58,179.616,7198.2,146,82
48,3412.84,179.36,3592.2,146,82
49,5167.29,178.208,5345.5,146,82
50,6027.8,179.104,6206.9,146,82
51,5389.95,171.648,5561.6,146,82
52,4154.65,170.752,4325.4,146,82
53,5044.54,170.656,5215.2,146,82
54,5355.91,170.688,5526.6,146,82
55,5482.55,170.848,5653.4,146,82
56,5092.42,171.584,5264,146,82
57,5311.7,171.2,5482.9,146,82
58,6526.45,171.552,6698,146,82
59,3961.84,171.36,4133.2,146,82
60,4965.1,171.104,5136.2,146,82
61,5949.7,171.2,6120.9,146,82
62,4512.02,170.784,4682.8,146,82
63,5367.75,171.552,5539.3,146,82
64,6286.35,170.848,6457.2,146,82
65,4032.99,171.008,4204,146,82
66,5013.66,170.944,5184.6,146,82
67,7495.01,171.488,7666.5,146,82
68,2999.02,170.784,3169.8,146,82
69,5307.05,170.752,5477.8,146,82
70,5862.35,171.552,6033.9,146,82
71,5712.65,170.848,5883.5,146,82
72,4010.28,170.624,4180.9,146,82
73,5825.24,171.264,5996.5,146,82
74,4406.81,170.688,4577.5,146,82
75,5295.46,171.84,5467.3,146,82
76,5297.52,170.88,5468.4,146,82
77,5616.47,171.328,5787.8,146,82
78,5247.58,170.72,5418.3,146,82
79,6483.57,171.232,6654.8,146,82
80,3969.48,170.72,4140.2,146,82
81,5305.72,163.68,5469.4,146,82
82,5025.37,163.328,5188.7,146,82
83,5284.93,163.872,5448.8,146,82
84,6653.24,164.064,6817.3,146,82
85,4057.18,164.224,4221.4,146,82
86,5090.45,163.552,5254,146,82
87,5524.06,163.84,5687.9,146,82
88,5082.02,163.776,5245.8,146,82
89,5332.84,163.36,5496.2,146,82
90,7581.35,163.552,7744.9,146,82
91,4360.94,164.064,4525,146,82
92,4006.84,164.16,4171,146,82
93,6671.67,164.128,6835.8,146,82
94,3864.56,163.84,4028.4,146,82
95,5124.96,163.84,5288.8,146,82
96,5980.02,164.384,6144.4,146,82
97,4521.99,163.712,4685.7,146,82
98,5357.94,164.16,5522.1,146,82
99,6598.27,164.128,6762.4,146,82
100,4099.39,163.712,4263.1,146,82
101,5162.31,164.192,5326.5,146,82
102,5296.05,163.648,5459.7,146,82
103,5360.21,163.488,5523.7,146,82
104,6609.1,164.096,6773.2,146,82
105,3986.11,164.288,4150.4,146,82
106,5140.9,163.296,5304.2,146,82
107,5369.38,163.52,5532.9,146,82
108,5347.58,164.32,5511.9,146,82
109,5270.26,163.936,5434.2,146,82
110,5636.63,163.872,5800.5,146,82
111,5067.8,164.096,5231.9,146,82
112,5471.54,164.16,5635.7,146,82
113,7995.5,163.2,8158.7,146,82
114,2427.54,164.256,2591.8,146,82
115,5336.02,163.776,5499.8,146,82
116,7589.39,163.712,7753.1,146,82
117,3511.74,163.456,3675.2,146,82
118,5303.72,164.384,5468.1,146,82
119,6686.36,163.744,6850.1,146,82
120,4047.12,163.68,4210.8,146,82
121,4984.52,164.384,5148.9,146,82
122,5829.67,164.032,5993.7,146,82
123,4755.22,163.68,4918.9,146,82
124,5933.42,163.584,6097,146,82
125,5124.07,164.032,5288.1,146,82
126,6587.49,163.712,6751.2,146,82
127,4182.87,164.128,4347,146,82
128,5067.32,163.584,5230.9,146,82
129,5256.86,163.84,5420.7,146,82
130,5329.65,163.552,5493.2,146,82
131,5280.39,163.712,5444.1,146,82
132,6716.93,163.968,6880.9,146,82
133,4166.45,163.552,4330,146,82
134,5675.93,163.872,5839.8,146,82
135,4602.38,163.424,4765.8,146,82
136,5256.07,164.128,5420.2,146,82
137,5410.12,170.784,5580.9,146,82
138,5292.88,170.624,5463.5,146,82
139,8535.51,171.392,8706.9,146,82
140,1924.01,171.392,2095.4,146,82
141,5098.04,171.36,5269.4,146,82
142,6509.84,171.36,6681.2,146,82
143,4108.77,170.528,4279.3,146,82
144,5163.99,171.712,5335.7,146,82
145,5895.34,171.264,6066.6,146,82
146,5994.21,170.592,6164.8,146,82
147,3995.62,170.784,4166.4,146,82
148,5079.61,170.688,5250.3,146,82
149,5089.39,171.008,5260.4,146,82
150,6594.99,171.008,6766,146,82
151,3632.95,171.648,3804.6,146,82
152,6368.7,170.496,6539.2,146,82
153,3905.74,171.36,4077.1,146,82
154,4959.2,171.2,5130.4,146,82
155,5275.14,171.456,5446.6,146,82
156,5620.1,171.104,5791.2,146,82
157,4944.14,170.656,5114.8,146,82
158,5223.82,170.88,5394.7,146,82
159,6652.8,171.296,6824.1,146,82
160,3933.5,171.2,4104.7,146,82
161,5096.29,171.008,5267.3,146,82
162,7485.85,170.752,7656.6,146,82
163,2937.17,170.528,3107.7,146,82
164,5344.99,171.712,5516.7,146,82
165,5244.46,170.944,5415.4,146,82
166,6450.22,163.776,6614,146,82
167,4073.55,164.352,4237.9,146,82
168,6271.81,163.488,6435.3,146,82
169,4234.91,164.192,4399.1,146,82
170,5177.44,163.456,5340.9,146,82
171,5658.74,164.16,5822.9,146,82
172,4864.26,163.84,5028.1,146,82
173,5648.07,164.128,5812.2,146,82
174,4749.84,163.36,4913.2,146,82
175,5476.77,164.032,5640.8,146,82
176,5448.55,163.552,5612.1,146,82
177,5259.52,163.68,5423.2,146,82
178,5196.33,163.968,5360.3,146,82
179,5647.13,163.968,5811.1,146,82
180,4977.31,163.488,5140.8,146,82
181,5331.98,163.616,5495.6,146,82
182,5444.11,163.488,5607.6,146,82
183,5290.18,163.424,5453.6,146,82
184,5444.18,164.224,5608.4,146,82
185,7961.41,163.392,8124.8,146,82
186,2525.4,163.296,2688.7,146,82
187,5227.37,164.032,5391.4,146,82
188,7082.34,163.456,7245.8,146,82
189,3501.5,163.296,3664.8,146,82
190,5362.97,164.128,5527.1,146,82
191,5658.28,164.416,5822.7,146,82
192,4971.76,163.744,5135.5,146,82
193,5388.49,163.808,5552.3,146,82
194,6117.64,164.064,6281.7,146,82
195,5389.96,162.944,5552.9,146,82
196,4486.39,163.808,4650.2,146,82
197,5069.64,163.264,5232.9,146,82
198,5149.1,163.2,5312.3,146,82
199,6619.78,163.52,6783.3,146,82
200,4100.58,163.52,4264.1,146,82
201,5254,163.904,5417.9,146,82
202,5345.84,164.16,5510,146,82
203,5431.98,164.32,5596.3,146,82
204,6097.6,164,6261.6,146,82
205,4403.44,164.064,4567.5,146,82
206,5198.14,163.456,5361.6,146,82
207,5274.17,164.128,5438.3,146,82
208,6199.5,164,6363.5,146,82
209,4382.73,163.872,4546.6,146,82
210,5349.13,163.872,5513,146,82
211,7220.66,163.744,7384.4,146,82
212,3343.61,163.392,3507,146,82
213,5411.45,163.552,5575,146,82
214,6141.02,163.68,6304.7,146,82
215,5544.66,163.84,5708.5,146,82
216,4252.98,164.32,4417.3,146,82
217,5601.15,163.648,5764.8,146,82
218,4992.77,163.328,5156.1,146,82
219,5162.13,163.968,5326.1,146,82
220,5416.6,164,5580.6,146,82
221,5674.99,163.808,5838.8,146,82
222,5247.46,163.84,5411.3,146,82
223,5253.37,163.328,5416.7,146,82
224,6321.83,171.168,6493,146,82
225,4387.59,170.912,4558.5,146,82
