frame,cpu_us,gpu_us,total_us,draw_calls,visible_instances
160,5200.11,239.392,5439.5,2,82
161,4674.8,240,4914.8,2,82
162,4911.83,239.968,5151.8,2,82
163,6071.6,239.904,6311.5,2,82
164,3526.77,240.032,3766.8,2,82
165,4828.4,239.904,5068.3,2,82
166,4878.13,239.968,5118.1,2,82
167,5497.48,240.32,5737.8,2,82
168,6674.98,240.224,6915.2,2,82
169,3462.86,239.936,3702.8,2,82
170,3731.29,238.912,3970.2,2,82
171,6704.28,240.32,6944.6,2,82
172,2970.2,240,3210.2,2,82
173,4872.62,239.68,5112.3,2,82
174,5208.23,239.968,5448.2,2,82
175,4563.94,240.256,4804.2,2,82
176,4950.64,240.256,5190.9,2,82
177,6345.88,240.416,6586.3,2,82
178,3864.74,239.36,4104.1,2,82
179,4293.9,239.2,4533.1,2,82
180,4964.92,239.584,5204.5,2,82
181,4844.08,240.32,5084.4,2,82
182,5106.16,239.136,5345.3,2,82
183,5805.69,239.712,6045.4,2,82
184,3631.1,239.296,3870.4,2,82
185,5369.76,240.64,5610.4,2,82
186,4329.8,240,4569.8,2,82
187,4606.66,221.536,4828.2,2,82
188,5256.14,221.76,5477.9,2,82
189,4935.48,221.824,5157.3,2,82
190,6165.06,221.344,6386.4,2,82
191,3941.53,222.272,4163.8,2,82
192,4776.77,221.632,4998.4,2,82
193,4908.29,222.208,5130.5,2,82
194,7361.02,221.984,7583,2,82
195,2618.61,221.888,2840.5,2,82
196,4817.22,222.08,5039.3,2,82
197,6919.25,222.048,7141.3,2,82
198,3074.5,222.496,3297,2,82
199,4890.34,221.664,5112,2,82
200,5498.97,222.528,5721.5,2,82
201,4534.14,222.464,4756.6,2,82
202,5042.9,221.696,5264.6,2,82
203,5052.3,222.496,5274.8,2,82
204,6184.17,221.728,6405.9,2,82
205,4526.22,221.984,4748.2,2,82
206,4287.77,221.728,4509.5,2,82
207,4997.2,222.304,5219.5,2,82
208,5245.18,222.016,5467.2,2,82
209,4529.8,222.496,4752.3,2,82
210,5679.28,221.92,5901.2,2,82
211,4318.22,221.984,4540.2,2,82
212,5042.33,222.272,5264.6,2,82
213,5490.98,325.824,5816.8,2,82
214,3257.89,222.112,3480,2,82
215,4620.65,221.248,4841.9,2,82
216,4950.47,207.232,5157.7,2,82
217,8623.07,207.232,8830.3,2,82
218,1568.61,207.488,1776.1,2,82
219,5117.37,207.232,5324.6,2,82
220,6554.59,206.912,6761.5,2,82
221,3741.32,207.584,3948.9,2,82
