frame,cpu_record_us,cpu_wait_us,gpu_exec_us,frame_wall_us,draw_calls,visible_instances
0,19,8.9,183.808,35.6,2,256
1,14.5,9,183.872,25.2,2,256
2,14.7,9.1,183.456,25.3,2,256
3,17,8.9,183.616,27.3,2,256
4,14.6,9,183.2,25,2,256
5,12.5,7.7,183.04,21.3,2,256
6,17,9.1,183.072,27.4,2,256
7,14.6,9.3,183.456,25.1,2,256
8,11.7,7.3,183.744,19.9,2,256
9,10.3,5.2,183.04,16.2,2,256
10,9.9,6.5,183.232,17.2,2,256
11,12.9,6.8,183.904,20.5,2,256
12,10.5,6.5,183.584,18,2,256
13,10.5,6.8,183.296,18.2,2,256
14,11.7,6.6,183.744,19.2,2,256
15,10.2,6.5,183.936,17.6,2,256
16,14.4,9.1,183.616,24.8,2,256
17,17.2,9.3,183.392,27.7,2,256
18,12.9,8,183.68,22,2,256
19,11.4,7,182.976,19.2,2,256
20,12.7,6.7,183.872,20.3,2,256
21,12.9,8.2,184,22.2,2,256
22,11.1,6.9,183.808,19,2,256
23,12.7,6.6,183.424,20.1,2,256
24,10.3,6.6,182.976,17.6,2,256
25,10,6.3,183.776,17,2,256
26,33.9,9.1,183.168,44.3,2,256
27,11.6,7.3,183.904,19.7,2,256
28,28.8,18.1,184,50.3,2,256
29,15,30.3,183.264,46.5,2,256
30,14.7,9.1,183.328,25,2,256
31,14.8,49.1,183.712,65.3,2,256
32,14.6,8.8,183.648,24.6,2,256
33,10.6,6.7,183.104,18.2,2,256
34,14.2,9,182.752,24.3,2,256
35,11.4,7,183.264,19.3,2,256
36,14.7,9,183.648,25,2,256
37,13.1,7.9,183.136,22,2,256
38,12.3,7.7,183.84,21,2,256
39,14.5,9.1,183.68,24.9,2,256
40,14.8,8.9,183.616,24.9,2,256
41,14.6,9.1,183.744,25,2,256
42,14.4,9.2,184.128,25,2,256
43,11.4,7.5,183.68,19.7,2,256
44,13.5,8.3,183.552,22.9,2,256
45,14.7,9.3,183.392,25.2,2,256
46,30.9,7.6,184.032,39.7,2,256
47,10.8,6.8,183.328,18.4,2,256
48,10.7,6.4,183.68,17.9,2,256
49,10.4,6.6,184.384,17.9,2,256

cpu_record_us_summary,avg,min,max,p1,p99,stddev
cpu_record,14.152,9.9,33.9,9.9,30.9,4.82142

cpu_wait_us_summary,avg,min,max,p1,p99,stddev
cpu_wait,9.316,5.2,49.1,5.2,30.3,6.72974

gpu_exec_us_summary,avg,min,max,p1,p99,stddev
gpu_exec,183.55,182.752,184.384,182.752,184.128,0.345743

frame_wall_us_summary,avg,min,max,p1,p99,stddev
frame_wall,24.718,16.2,65.3,16.2,50.3,9.36433
