frame,cpu_us,gpu_us,total_us,draw_calls,visible_instances
160,6029.87,14.432,6044.3,5,3
161,6125.43,14.368,6139.8,5,3
162,6050.54,16.256,6066.8,5,3
163,6285.1,14.304,6299.4,5,3
164,6477.15,21.952,6499.1,5,3
165,5572.68,14.816,5587.5,5,3
166,6056.67,14.528,6071.2,5,3
167,8358.09,14.112,8372.2,5,3
168,3674.22,14.88,3689.1,5,3
169,6015.29,14.912,6030.2,5,3
170,7710.37,14.432,7724.8,5,3
171,4370.41,14.688,4385.1,5,3
172,6100.78,14.624,6115.4,5,3
173,8054.6,17.696,8072.3,5,3
174,3283.16,14.336,3297.5,5,3
175,6071.51,14.688,6086.2,5,3
176,6019.56,16.64,6036.2,5,3
177,6083.86,14.24,6098.1,5,3
178,6127.21,14.688,6141.9,5,3
179,7297.38,14.816,7312.2,5,3
180,5241.6,14.304,5255.9,5,3
181,6497.39,14.912,6512.3,5,3
182,6212.17,20.928,6233.1,5,3
183,5647.48,14.624,5662.1,5,3
184,5863.74,13.856,5877.6,5,3
185,6148.7,14.304,6163,5,3
186,6062.58,16.224,6078.8,5,3
187,6191.3,14.496,6205.8,5,3
188,6117.46,14.336,6131.8,5,3
189,6042.22,14.784,6057,5,3
190,6158.73,14.368,6173.1,5,3
191,6388.86,22.24,6411.1,5,3
192,5645.33,19.168,5664.5,5,3
193,8064.8,22.304,8087.1,5,3
194,3068.67,14.432,3083.1,5,3
195,6039.57,14.528,6054.1,5,3
196,7297.61,14.688,7312.3,5,3
197,4806.25,14.848,4821.1,5,3
198,6383.94,27.456,6411.4,5,3
199,5614.35,14.848,5629.2,5,3

CPU_us_summary,avg,min,max,p1,p99,stddev
CPU,5993.27,308.584,8358.09,3068.67,8163.13,873.922

GPU_us_summary,avg,min,max,p1,p99,stddev
GPU,15.912,13.856,28.128,13.888,25.088,3.01854

Total_us_summary,avg,min,max,p1,p99,stddev
Total,6009.18,322.6,8372.2,3083.1,8177.5,874.122
