frame,cpu_us,gpu_us,total_us,draw_calls,visible_instances
0,4454.87,66.528,4521.4,2,13
1,5144.04,64.064,5208.1,2,13
2,4727.31,64.288,4791.6,2,13
3,6024.32,64.384,6088.7,2,13
4,8566.6,64.096,8630.7,2,13
5,3491.47,64.032,3555.5,2,13
6,6129.12,64.576,6193.7,2,13
7,7319.22,63.68,7382.9,2,13
8,3482.98,64.416,3547.4,2,13
9,6720.57,64.832,6785.4,2,13
10,6473.34,64.064,6537.4,2,13
11,5034.02,64.384,5098.4,2,13
12,7144.79,64.608,7209.4,2,13
13,5157.67,64.832,5222.5,2,13
14,5928.53,64.672,5993.2,2,13
15,4701.71,64.992,4766.7,2,13
16,6178.51,64.992,6243.5,2,13
17,5926.39,64.512,5990.9,2,13
18,6177.78,64.224,6242,2,13
19,5184.64,64.16,5248.8,2,13
20,4374.4,64.8,4439.2,2,13
21,6186.87,64.032,6250.9,2,13
22,6051.2,64.896,6116.1,2,13
23,6030.04,64.16,6094.2,2,13
24,5554.72,64.384,5619.1,2,13
25,5935.34,68.96,6004.3,2,13
26,6175.53,64.768,6240.3,2,13
27,5269.3,64.896,5334.2,2,13
28,5466.05,65.152,5531.2,2,13
29,6099.86,63.936,6163.8,2,13
30,7108.04,64.256,7172.3,2,13
31,4153.97,64.128,4218.1,2,13
32,5454.45,64.352,5518.8,2,13
33,7239.12,64.384,7303.5,2,13
34,5049.24,64.256,5113.5,2,13
35,4380.04,65.056,4445.1,2,13
36,5506.31,64.288,5570.6,2,13
37,7144.76,64.736,7209.5,2,13
38,4898.22,64.48,4962.7,2,13
39,5987.32,65.984,6053.3,2,13
40,6064.57,64.032,6128.6,2,13
41,5080.73,63.968,5144.7,2,13
42,6040.68,64.416,6105.1,2,13
43,7283.09,64.608,7347.7,2,13
44,4740.96,64.736,4805.7,2,13
45,4662.26,64.736,4727,2,13
46,4479.75,64.448,4544.2,2,13
47,6088.45,64.352,6152.8,2,13
48,6033.17,64.128,6097.3,2,13
49,6047.37,64.032,6111.4,2,13
50,7454.43,64.672,7519.1,2,13
51,4583.06,64.736,4647.8,2,13
52,5943.16,64.736,6007.9,2,13
53,6186.26,64.544,6250.8,2,13
54,5960.5,68.096,6028.6,2,13
55,5945.04,68.064,6013.1,2,13
56,6048.4,67.904,6116.3,2,13
57,7253.48,68.224,7321.7,2,13
58,4883.67,68.032,4951.7,2,13
59,5986,68.096,6054.1,2,13
60,6168.06,67.744,6235.8,2,13
61,5913.12,68.576,5981.7,2,13
62,5961.54,68.256,6029.8,2,13
63,5971.17,67.328,6038.5,2,13
