frame,cpu_record_us,cpu_wait_us,gpu_exec_us,frame_wall_us,draw_calls,visible_instances
0,37.4,8.5,182.944,55,2,256
1,33.8,22.1,183.936,60,2,256
2,13.7,8.4,183.968,23.7,2,256
3,13.7,7.3,183.2,22,2,256
4,14.9,9.4,184.128,25.4,2,256
5,9.5,6.1,183.84,16.2,2,256
6,17.1,9.4,183.904,27.8,2,256
7,11.6,7.1,183.168,19.6,2,256
8,12.4,8,183.968,21.6,2,256
9,13.3,7.1,191.808,21.4,2,256
10,10.3,6.7,182.88,17.8,2,256
11,12.7,6.8,183.296,20.3,2,256
12,10.4,6.5,183.04,17.6,2,256
13,10.4,6.5,183.68,17.8,2,256
14,11.9,6.9,183.232,19.7,2,256
15,10.2,6.6,183.744,17.7,2,256
16,21.6,14.8,184.544,38.2,2,256
17,17.4,9.1,185.12,27.8,2,256
18,14.9,9.5,183.648,25.9,2,256
19,14.6,9,183.616,24.6,2,256
20,17.1,9,183.744,27.3,2,256
21,32.6,41.3,183.84,75.2,2,256
22,13.5,8.4,183.936,23.1,2,256
23,15.9,8.2,183.008,25.2,2,256
24,11.1,7.1,183.136,19.1,2,256
25,11.3,7,183.744,19.3,2,256
26,10.5,6.5,184,17.7,2,256
27,99.2,10.7,185.504,111.3,2,256
28,11.6,7.1,185.952,19.9,2,256
29,17.4,9.9,184.032,28.9,2,256
30,14.7,9.4,183.68,25.4,2,256
31,12.2,7.7,182.976,20.8,2,256
32,12.1,7.5,183.424,20.5,2,256
33,11.2,7.1,183.232,19.1,2,256
34,11,6.7,183.776,18.6,2,256
35,10.5,6.4,183.072,17.6,2,256
36,10.9,6.8,184.032,18.4,2,256
37,11,7.1,183.328,18.9,2,256
38,10.3,6.8,182.88,17.9,2,256
39,10,6.3,184.16,17.1,2,256
40,14.7,9.4,183.424,25.4,2,256
41,14.9,9.5,183.136,25.6,2,256
42,35,21.4,183.648,60.4,2,256
43,15.1,9.3,183.712,25.6,2,256
44,14.9,9.1,183.328,25.3,2,256
45,14.5,27.1,183.84,43,2,256
46,13.3,8.4,183.168,22.7,2,256
47,14.6,9.2,183.616,25.1,2,256
48,33.3,8.7,183.52,43.3,2,256
49,12.3,7.7,184.928,21,2,256

cpu_record_us_summary,avg,min,max,p1,p99,stddev
cpu_record,16.97,9.5,99.2,9.5,37.4,13.5927

cpu_wait_us_summary,avg,min,max,p1,p99,stddev
cpu_wait,9.652,6.1,41.3,6.1,27.1,6.04544

gpu_exec_us_summary,avg,min,max,p1,p99,stddev
gpu_exec,183.869,182.88,191.808,182.88,185.952,1.29796

frame_wall_us_summary,avg,min,max,p1,p99,stddev
frame_wall,27.976,16.2,111.3,16.2,75.2,17.1534
