# commit=0c3c0d9
# dirty=true
# gpu=NVIDIA GeForce RTX 4080 SUPER
# grid=512 chunk=4 density=50 scheme=1 seed=9999
# warmup=60 record=200
# present_mode=mailbox
frame,cpu_record_us,cpu_wait_us,gpu_exec_us,frame_wall_us,draw_calls,visible_instances
0,3585.3,28.1,65.792,3624.6,1756,1605
1,3505.6,24.8,61.76,3532.9,1673,1527
2,3586.1,49.3,57.024,3639.1,1504,1375
3,3767.8,24.6,51.136,3795.2,1366,1252
4,3429.9,22.8,44.992,3456.2,1173,1078
5,3440.6,21.8,41.088,3464.8,1049,967
6,3411.4,19.9,35.2,3434.1,891,817
7,3421.3,19.5,31.296,3443,789,722
8,3401.4,18.4,26.336,3422.5,649,594
9,3396.3,16.9,24.832,3415,584,538
10,3389.1,31.3,21.568,3422.4,522,480
11,3368.4,19.6,19.232,3389.8,437,401
12,4005.7,26.5,17.856,4034.1,396,364
13,3574.2,18.3,16.736,3594.3,351,325
14,3856.3,17.5,15.296,3875.6,329,305
15,3358,22.5,14.304,3382.6,302,282
16,3487.1,18.2,13.824,3508.4,295,275
17,3497.5,24.6,13.888,3524.7,288,269
18,3586.4,18,14.496,3606.4,288,269
19,3528.2,22.7,13.696,3552.8,291,272
20,3647.5,19.2,14.24,3668.4,291,272
21,3591.6,17.8,13.44,3611.4,291,272
22,3380.2,18.9,14.208,3402.1,291,272
23,3427.6,19.6,14.336,3448.8,291,272
24,4082.7,47,13.792,4131.5,291,272
25,3373.4,21.5,14.112,3397.6,291,272
26,3359.9,16.3,14.144,3378.3,291,272
27,3388.4,16.9,14.272,3407.3,291,272
28,3598.3,26.9,14.144,3626.9,291,272
29,3505.3,13.5,14.08,3520.3,291,272
30,3403,17.4,13.664,3422,291,272
31,3592.8,14.6,13.6,3609.1,291,272
32,3392.7,14.4,13.664,3408.5,291,272
33,3647.5,19.2,14.176,3668.5,291,272
34,3365.3,15.9,13.44,3382.9,291,272
35,3678.3,14.5,13.984,3694.6,291,272
36,3362.2,13.8,14.368,3377.7,291,272
37,3361.6,12.7,13.6,3375.8,291,272
38,3669.2,14.7,13.632,3685.4,291,272
39,3365.6,13.5,13.888,3380.6,291,272
40,3347.9,12.4,14.336,3361.8,291,272
41,3467.3,14.2,13.824,3482.8,291,272
42,3382.8,13.4,14.08,3397.7,291,272
43,3359.5,12.6,13.536,3373.4,291,272
44,3646.7,13.8,13.696,3661.7,291,272
45,3525.7,13.3,13.28,3540.4,291,272
46,3371.6,14,16.032,3387.2,351,325
47,3546.5,14.8,15.616,3562.7,351,325
48,3492.3,15.2,16.32,3508.9,351,325
49,3357,13.1,16.256,3371.6,351,325
50,3432.9,17.1,16.448,3451.5,351,325
51,3873.7,15.3,15.808,3890.4,351,325
52,3526.3,12.5,16.16,3540.1,351,325
53,3371,12.4,16.416,3384.9,351,325
54,3699.6,14.2,15.616,3715.4,351,325
55,3362.8,12.9,16.192,3377,351,325
56,3543.5,13.5,15.84,3558.6,351,325
57,3493.4,13.7,16.064,3508.8,351,325
58,3412,14.1,15.776,3427.6,351,325
59,3682.8,14.4,16.16,3698.7,351,325
60,3652.9,16.6,15.616,3671,351,325
61,3633.7,14.1,16.32,3649.5,351,325
62,3620.1,15.3,16.032,3636.9,351,325
63,3551.9,26.5,16.16,3581.8,351,325
64,3403.3,18,16.192,3423.3,351,325
65,3850.7,17.1,16.512,3869.8,351,325
66,3382.1,17.7,15.648,3401.6,351,325
67,3389,17.2,16.32,3407.9,351,325
68,3449.6,15.1,16.48,3466.4,351,325
69,3400.5,15.5,15.808,3417.7,351,325
70,3388,14.7,15.68,3404.3,351,325
71,3392.2,15.9,16.416,3409.7,351,325
72,3418.9,15.8,15.584,3436,351,325
73,3389.8,10.5,16.224,3401.5,351,325
74,3508.1,25.3,15.68,3537.4,351,325
75,3497.7,18.3,16.064,3517.6,351,325
76,3388,12.2,15.616,3401.7,351,325
77,3444.3,15.5,15.776,3460.7,351,325
78,3826.8,13.7,16.16,3842,351,325
79,5018.7,13.3,16.224,5033.4,351,325
80,3415.2,15.1,16.448,3431.8,351,325
81,3469.2,15.9,16.128,3486.5,351,325
82,3704.2,15.5,15.744,3721.2,351,325
83,3440.4,12.8,15.744,3454.5,351,325
84,3606.8,14.4,16.512,3622.6,351,325
85,3713.8,15.5,15.776,3730.5,351,325
